"LSOA21CD","RGN23NM","BSC_Blue_withgaps_withLondon","BSC_Blue_withgaps_noLondon","BSC_Blue_nogaps_withLondon","BSC_Blue_nogaps_noLondon","BSC_BlueProximate_withgaps_withLondon","BSC_BlueProximate_withgaps_noLondon","BSC_BlueProximate_nogaps_withLondon","BSC_BlueProximate_nogaps_noLondon","BGC_Blue_withgaps_withLondon","BGC_Blue_withgaps_noLondon","BGC_Blue_nogaps_withLondon","BGC_Blue_nogaps_noLondon","BGC_BlueProximate_withgaps_withLondon","BGC_BlueProximate_withgaps_noLondon","BGC_BlueProximate_nogaps_withLondon","BGC_BlueProximate_nogaps_noLondon"
"E01000226","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000227","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000228","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000229","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000230","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000231","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000232","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000233","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000234","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000235","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000236","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000237","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000238","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000239","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000240","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000241","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000242","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000243","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000244","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000245","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000246","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000247","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000248","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000249","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000250","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000251","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000252","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000253","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000254","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000255","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000256","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000257","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000258","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000259","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000260","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000261","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000263","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000264","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000265","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000266","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000267","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000268","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000269","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000270","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000271","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000272","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000273","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000274","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000275","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000276","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000277","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000278","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000279","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000280","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000281","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000282","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000283","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000284","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000285","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000286","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000287","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000288","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000289","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000290","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000291","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000292","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000293","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000294","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000295","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000296","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000297","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000298","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000299","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000300","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000301","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000302","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000303","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000304","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
